,userId,movieId,rating,timestamp
0,1,31,2.5,1260759144
20,2,10,4.0,835355493
21,2,17,5.0,835355681
22,2,39,5.0,835355604
23,2,47,4.0,835355552
24,2,50,4.0,835355586
25,2,52,3.0,835356031
26,2,62,3.0,835355749
27,2,110,4.0,835355532
28,2,144,3.0,835356016
29,2,150,5.0,835355395
30,2,153,4.0,835355441
31,2,161,3.0,835355493
32,2,165,3.0,835355441
33,2,168,3.0,835355710
34,2,185,3.0,835355511
35,2,186,3.0,835355664
36,2,208,3.0,835355511
37,2,222,5.0,835355840
38,2,223,1.0,835355749
39,2,225,3.0,835355552
40,2,235,3.0,835355664
41,2,248,3.0,835355896
42,2,253,4.0,835355511
43,2,261,4.0,835355681
44,2,265,5.0,835355697
45,2,266,5.0,835355586
46,2,272,3.0,835355767
47,2,273,4.0,835355779
48,2,292,3.0,835355492
49,2,296,4.0,835355395
50,2,300,3.0,835355532
51,2,314,4.0,835356044
52,2,317,2.0,835355551
53,2,319,1.0,835355918
54,2,339,3.0,835355492
55,2,349,4.0,835355441
56,2,350,4.0,835355697
57,2,356,3.0,835355628
58,2,357,3.0,835355749
59,2,364,3.0,835355604
60,2,367,3.0,835355619
61,2,370,2.0,835355932
62,2,371,3.0,835355968
63,2,372,3.0,835356094
64,2,377,3.0,835355710
65,2,382,3.0,835356165
66,2,405,2.0,835356246
67,2,410,3.0,835355532
68,2,454,4.0,835355604
69,2,457,3.0,835355511
70,2,468,4.0,835355790
71,2,474,2.0,835355828
72,2,480,4.0,835355643
73,2,485,3.0,835355918
74,2,497,3.0,835355880
96,3,60,3.0,1298861675
97,3,110,4.0,1298922049
98,3,247,3.5,1298861637
99,3,267,3.0,1298861761
100,3,296,4.5,1298862418
101,3,318,5.0,1298862121
102,3,355,2.5,1298861589
103,3,356,5.0,1298862167
104,3,377,2.5,1298923242
147,4,10,4.0,949810645
148,4,34,5.0,949919556
149,4,112,5.0,949810582
150,4,141,5.0,949919681
151,4,153,4.0,949811346
152,4,173,3.0,949811346
153,4,185,3.0,949920047
154,4,260,5.0,949779042
155,4,289,4.0,949778802
156,4,296,5.0,949895708
157,4,329,3.0,949810618
158,4,349,5.0,949810582
159,4,356,5.0,949919763
160,4,357,5.0,949919681
161,4,364,5.0,949949538
162,4,367,4.0,949895887
163,4,380,3.0,949810534
164,4,410,3.0,949919883
165,4,431,3.0,949895772
166,4,434,4.0,949810688
167,4,435,1.0,949920135
168,4,440,4.0,949919802
169,4,442,4.0,949920028
170,4,464,4.0,949811315
171,4,480,5.0,949810582
351,5,3,4.0,1163374957
352,5,39,4.0,1163374952
353,5,104,4.0,1163374639
354,5,141,4.0,1163374242
355,5,150,4.0,1163374404
356,5,231,3.5,1163373762
357,5,277,4.5,1163373208
358,5,344,3.5,1163373636
359,5,356,4.0,1163374152
360,5,364,4.0,1163373752
361,5,367,4.0,1163373755
362,5,377,4.0,1163373610
363,5,440,4.0,1163374477
451,6,111,4.0,1109258212
452,6,158,2.0,1108134263
453,6,173,2.0,1109258228
454,6,293,5.0,1108134539
495,7,1,3.0,851866703
496,7,10,3.0,851869035
497,7,21,3.0,851867289
498,7,31,3.0,851868750
499,7,34,4.0,851867861
500,7,40,4.0,851866901
501,7,104,3.0,851866744
502,7,110,5.0,851868188
503,7,112,4.0,851866720
504,7,141,4.0,851866704
505,7,151,4.0,851868206
506,7,198,2.0,851868704
507,7,207,3.0,851868705
508,7,260,5.0,851869062
509,7,272,3.0,851868188
510,7,316,2.0,851869161
511,7,318,5.0,851868187
512,7,329,3.0,851868524
513,7,333,3.0,851867345
514,7,345,3.0,851867621
515,7,355,3.0,851867941
516,7,356,3.0,851868188
517,7,357,3.0,851867436
518,7,364,3.0,851868020
519,7,367,3.0,851867790
520,7,377,3.0,851869291
521,7,380,4.0,851869291
522,7,480,4.0,851869161
583,8,32,5.0,1154465405
584,8,45,2.5,1154389572
585,8,47,5.0,1154464836
586,8,50,5.0,1154400173
587,8,110,4.0,1154473268
588,8,260,3.5,1154464829
589,8,282,2.0,1154389420
590,8,296,4.0,1154465380
591,8,318,5.0,1154464714
592,8,356,4.0,1154400390
593,8,457,4.5,1154400475
699,9,1,4.0,938629179
700,9,17,4.0,938628337
701,9,26,3.0,938628655
702,9,36,5.0,938629110
703,9,47,3.0,938628897
704,9,318,4.0,938628966
705,9,497,4.0,938628777
744,10,50,5.0,942766420
745,10,152,4.0,942766793
746,10,318,4.0,942766515
747,10,344,3.0,942766603
748,10,345,4.0,942766603
790,11,50,5.0,1391658537
791,11,70,1.0,1391656827
792,11,126,4.0,1391657561
793,11,169,3.0,1391657297
794,11,296,5.0,1391658423
828,12,253,3.0,968045587
889,13,1,5.0,1331380058
890,13,47,2.5,1331380914
891,13,110,4.0,1331380038
892,13,277,4.0,1331379348
893,13,296,3.5,1331380895
894,13,318,4.5,1331380029
895,13,356,5.0,1331380018
896,13,362,4.5,1331379479
897,13,480,3.0,1331380025
962,15,1,2.0,997938310
963,15,2,2.0,1134521380
964,15,5,4.5,1093070098
965,15,6,4.0,1040205753
966,15,10,3.0,1093028290
967,15,11,2.5,1093028381
968,15,14,2.5,1166586286
969,15,16,3.5,1093070150
970,15,17,3.0,997939404
971,15,19,1.0,1093028409
972,15,21,4.5,1058249528
973,15,22,2.5,1093070415
974,15,25,3.0,1033345172
975,15,32,4.0,997938466
976,15,34,3.0,997938310
977,15,36,1.0,1033345287
978,15,39,2.5,1093028334
979,15,44,3.0,1122576665
980,15,47,5.0,1054449816
981,15,50,5.0,997938500
982,15,52,2.5,1093070271
983,15,62,2.0,1093028336
984,15,70,0.5,1093070467
985,15,82,5.0,1044220302
986,15,94,3.0,1166587063
987,15,95,1.5,1093028331
988,15,101,4.0,1134522072
989,15,104,1.0,1093070113
990,15,107,2.0,1166586594
991,15,110,3.0,1040205792
992,15,111,5.0,997938500
993,15,112,2.5,1093070156
994,15,123,4.0,997938358
995,15,125,3.5,1245362506
996,15,145,3.5,1134521543
997,15,149,5.0,1075142933
998,15,150,3.0,997939380
999,15,153,1.0,1128274517
1000,15,157,2.0,1052896975
1001,15,160,0.5,1093028411
1002,15,161,3.0,1093028319
1003,15,162,4.0,997938676
1004,15,163,2.0,1166586021
1005,15,164,4.0,997938413
1006,15,165,3.0,1093028183
1007,15,170,2.5,1166586376
1008,15,172,1.0,1093070329
1009,15,175,4.0,1166587180
1010,15,176,4.0,1046209579
1011,15,180,3.0,1166586276
1012,15,185,2.0,1052896916
1013,15,193,1.0,1193435347
1014,15,196,2.0,1093070170
1015,15,198,1.5,1134521967
1016,15,208,1.5,1193435482
1017,15,214,2.0,1033345241
1018,15,215,4.5,1054449903
1019,15,216,1.0,1349622582
1020,15,223,4.0,997939415
1021,15,225,1.0,1134521432
1022,15,230,1.0,1033345068
1023,15,231,3.5,1093028308
1024,15,232,4.0,1033345227
1025,15,233,4.0,1033344772
1026,15,235,4.0,997939415
1027,15,237,3.5,1166586251
1028,15,246,5.0,997938656
1029,15,247,2.0,997938567
1030,15,252,2.0,1093070318
1031,15,253,2.0,1093028328
1032,15,260,5.0,997938437
1033,15,265,1.0,1058250479
1034,15,288,2.0,1093028372
1035,15,292,1.0,1093028298
1036,15,293,5.0,997938567
1037,15,296,5.0,997938771
1038,15,300,4.0,1054449869
1039,15,306,5.0,997938737
